400, 0
422, 0
422, 0
422, 0
422, 0
422, 0
768, 17
1966, 1
1966, 1
1966, 0
2254, 0
2254, 0
2294, 2
2294, 2
2294, 3
2294, 4
2294, 4
2294, 4
2294, 4
2294, 4
2294, 9
2294, 10
2294, 11
2294, 4
2294, 4
2294, 4
2294, 3
2294, 2
2294, 4
2294, 4
2294, 4
2294, 4
2358, 4
2358, 4
2358, 11
2358, 10
2358, 10
2358, 4
2358, 3
3330, 30
4418, 5
6110, 0
6306, 0
6308, 0
6822, 21
7330, 0
7338, 57
7338, 35
7338, 49
7338, 55
7338, 50
7338, 48
14138, 40
15154, 85
15156, 56
15220, 56
15220, 50
15220, 44
15220, 5
15220, 58
15220, 58
15220, 58
15220, 56
15220, 12
15220, 5
15220, 5
15220, 6
15220, 42
15220, 8
15220, 5
15220, 6
15220, 6
15220, 35
15220, 84
15220, 84
15220, 25
15220, 10
15220, 6
15220, 9
15220, 31
15220, 27
15220, 16
15220, 2
15220, 6
15220, 45
15220, 5
15220, 53
15220, 43
15220, 7
15220, 26
15220, 21
15220, 56
15220, 86
15220, 26
15220, 24
15220, 5
15220, 5
15220, 42
15220, 6
15220, 5
15220, 47
15220, 59
15220, 14
15220, 56
15220, 12
15220, 6
15220, 8
15220, 24
15220, 17
15220, 5
15220, 6
15220, 53
15220, 87
15220, 85
15220, 46
15220, 6
15220, 7
15220, 38
15220, 6
15220, 9
15220, 17
15220, 5
15220, 31
15220, 5
15220, 51
15220, 5
15220, 21
15220, 60
15220, 6
15220, 6
15220, 2
15220, 6
15220, 62
15220, 56
15220, 60
15220, 18
15220, 5
15220, 40
15220, 39
15220, 6
15220, 24
15220, 60
15220, 7
15220, 33
15220, 40
15220, 2
15220, 6
15220, 9
15220, 17
15220, 6
15220, 27
15220, 5
15220, 87
15220, 0
15220, 0
15220, 0
15220, 0
442, 13
