timestamp,gpu_timestamp,gpu_util_pct,mem_used_mib,mem_total_mib,power_w,temp_c
2026-05-12T19:55:46+08:00,2026/05/12 19:55:46.851,2,290,24564,5.41,26
2026-05-12T19:55:49+08:00,2026/05/12 19:55:49.148,0,302,24564,55.30,28
2026-05-12T19:55:51+08:00,2026/05/12 19:55:51.289,0,302,24564,10.17,27
2026-05-12T19:55:53+08:00,2026/05/12 19:55:53.384,0,302,24564,5.02,27
2026-05-12T19:55:55+08:00,2026/05/12 19:55:55.479,0,1846,24564,55.30,28
2026-05-12T19:55:57+08:00,2026/05/12 19:55:57.566,1,1846,24564,55.30,29
2026-05-12T19:55:59+08:00,2026/05/12 19:55:59.753,0,2134,24564,55.28,29
