timestamp,gpu_timestamp,gpu_util_pct,mem_used_mib,mem_total_mib,power_w,temp_c
2026-05-11T21:40:37+08:00,2026/05/11 21:40:37.012,4,278,24564,6.43,31
2026-05-11T21:40:39+08:00,2026/05/11 21:40:39.294,0,277,24564,5.65,31
2026-05-11T21:40:41+08:00,2026/05/11 21:40:41.435,0,277,24564,5.47,31
2026-05-11T21:40:43+08:00,2026/05/11 21:40:43.530,0,277,24564,5.58,31
2026-05-11T21:40:45+08:00,2026/05/11 21:40:45.624,0,1821,24564,55.41,32
2026-05-11T21:40:47+08:00,2026/05/11 21:40:47.709,3,2109,24564,55.42,32
2026-05-11T21:40:49+08:00,2026/05/11 21:40:49.896,0,2109,24564,55.27,33
2026-05-11T21:40:52+08:00,2026/05/11 21:40:51.983,3,2149,24564,15.12,32
2026-05-11T21:40:54+08:00,2026/05/11 21:40:54.068,5,2149,24564,13.91,32
2026-05-11T21:40:56+08:00,2026/05/11 21:40:56.151,5,2149,24564,13.90,32
2026-05-11T21:40:58+08:00,2026/05/11 21:40:58.341,5,2149,24564,14.67,32
2026-05-11T21:41:00+08:00,2026/05/11 21:41:00.426,3,2149,24564,14.98,32
2026-05-11T21:41:02+08:00,2026/05/11 21:41:02.517,4,2149,24564,14.47,32
2026-05-11T21:41:04+08:00,2026/05/11 21:41:04.604,3,2149,24564,13.29,32
2026-05-11T21:41:06+08:00,2026/05/11 21:41:06.694,4,2149,24564,12.89,32
2026-05-11T21:41:08+08:00,2026/05/11 21:41:08.878,3,2149,24564,15.36,32
2026-05-11T21:41:10+08:00,2026/05/11 21:41:10.965,3,2150,24564,14.38,32
2026-05-11T21:41:13+08:00,2026/05/11 21:41:13.054,6,2212,24564,15.05,32
2026-05-11T21:41:15+08:00,2026/05/11 21:41:15.137,6,2213,24564,14.75,32
2026-05-11T21:41:17+08:00,2026/05/11 21:41:17.224,7,2213,24564,13.75,32
2026-05-11T21:41:19+08:00,2026/05/11 21:41:19.401,3,2213,24564,14.38,32
2026-05-11T21:41:21+08:00,2026/05/11 21:41:21.492,3,2213,24564,14.56,32
2026-05-11T21:41:23+08:00,2026/05/11 21:41:23.571,4,2213,24564,14.28,32
2026-05-11T21:41:25+08:00,2026/05/11 21:41:25.656,64,2709,24564,14.10,32
2026-05-11T21:41:27+08:00,2026/05/11 21:41:27.744,100,6553,24564,15.16,33
2026-05-11T21:41:29+08:00,2026/05/11 21:41:29.921,2,7321,24564,44.85,33
2026-05-11T21:41:32+08:00,2026/05/11 21:41:32.007,9,8567,24564,64.80,34
2026-05-11T21:41:34+08:00,2026/05/11 21:41:34.094,46,8573,24564,145.81,38
2026-05-11T21:41:36+08:00,2026/05/11 21:41:36.183,62,8573,24564,137.88,38
2026-05-11T21:41:38+08:00,2026/05/11 21:41:38.366,56,8573,24564,146.82,39
2026-05-11T21:41:40+08:00,2026/05/11 21:41:40.449,86,17175,24564,155.48,38
2026-05-11T21:41:42+08:00,2026/05/11 21:41:42.541,60,17177,24564,144.84,40
2026-05-11T21:41:44+08:00,2026/05/11 21:41:44.642,60,17177,24564,143.59,41
2026-05-11T21:41:46+08:00,2026/05/11 21:41:46.729,49,17177,24564,147.71,41
2026-05-11T21:41:48+08:00,2026/05/11 21:41:48.910,60,17177,24564,234.19,45
2026-05-11T21:41:51+08:00,2026/05/11 21:41:51.004,64,17179,24564,149.89,44
2026-05-11T21:41:53+08:00,2026/05/11 21:41:53.096,52,17179,24564,148.40,43
2026-05-11T21:41:55+08:00,2026/05/11 21:41:55.189,55,17179,24564,147.07,44
2026-05-11T21:41:57+08:00,2026/05/11 21:41:57.290,64,17179,24564,206.84,48
2026-05-11T21:41:59+08:00,2026/05/11 21:41:59.482,50,17179,24564,144.45,45
2026-05-11T21:42:01+08:00,2026/05/11 21:42:01.570,66,17179,24564,147.32,46
2026-05-11T21:42:03+08:00,2026/05/11 21:42:03.658,62,17179,24564,149.28,46
2026-05-11T21:42:05+08:00,2026/05/11 21:42:05.747,50,17179,24564,150.95,48
2026-05-11T21:42:07+08:00,2026/05/11 21:42:07.838,65,17179,24564,151.09,48
2026-05-11T21:42:10+08:00,2026/05/11 21:42:10.024,54,17179,24564,148.86,48
2026-05-11T21:42:12+08:00,2026/05/11 21:42:12.110,77,17179,24564,185.90,49
2026-05-11T21:42:14+08:00,2026/05/11 21:42:14.200,66,17179,24564,151.40,49
2026-05-11T21:42:16+08:00,2026/05/11 21:42:16.289,51,17179,24564,152.32,50
2026-05-11T21:42:18+08:00,2026/05/11 21:42:18.476,49,17179,24564,150.14,50
2026-05-11T21:42:20+08:00,2026/05/11 21:42:20.563,84,17179,24564,245.18,55
2026-05-11T21:42:22+08:00,2026/05/11 21:42:22.652,54,17179,24564,148.47,51
2026-05-11T21:42:24+08:00,2026/05/11 21:42:24.738,51,17179,24564,151.96,51
2026-05-11T21:42:26+08:00,2026/05/11 21:42:26.828,67,17179,24564,153.85,53
2026-05-11T21:42:29+08:00,2026/05/11 21:42:29.015,66,17179,24564,233.21,53
2026-05-11T21:42:31+08:00,2026/05/11 21:42:31.179,65,17179,24564,153.51,54
2026-05-11T21:42:33+08:00,2026/05/11 21:42:33.267,51,17179,24564,149.00,53
2026-05-11T21:42:35+08:00,2026/05/11 21:42:35.351,61,17179,24564,149.35,54
