name,cmd_vx,cmd_vy,cmd_wz,cmd_xy_speed,envs,duration_s,warmup_s,reset_events_per_env,ever_reset_frac,fall_frac,min_height,max_xy_err,max_yaw_err,vx,vy,wz,abs_vx_err,abs_vy_err,xy_err,yaw_err,along,orth_abs,base_height,tilt,action_abs,torque_abs,reward,speed_ratio,score_tracking
stand,0.0,0.0,0.0,0.0,8,6.0,2.0,0.0,0.0,0.0,0.6651309132575989,0.007845870219171047,0.005161977373063564,-0.0017401543259620666,-0.0002553900890052319,0.0010797961801290513,0.0017401543259620666,0.0002553900890052319,0.0017609940469264984,0.0010797961801290513,0.0,0.0,0.6665400695800782,0.043889312744140624,0.08712641716003418,3.7044918823242186,0.05357023239135742,,0.9999829319063658
forward_0.3,0.3,0.0,0.0,0.3,8,6.0,2.0,0.0,0.0,0.0,0.649882972240448,0.12135233730077744,0.17296789586544037,0.2571627426147461,0.010068219900131226,-0.03843674659729004,0.0429206657409668,0.06369541645050049,0.0819483757019043,0.05349178791046143,0.2571627426147461,0.06369541645050049,0.6629508209228515,0.0670861005783081,0.1505713367462158,5.52185302734375,0.07081934928894043,0.8572091420491537,0.9624168264652817
forward_0.6,0.6,0.0,0.0,0.6,8,6.0,2.0,0.0,0.0,0.0,0.6445879936218262,0.1749296486377716,0.2433219999074936,0.5076237487792968,0.027814345359802248,-0.04207221031188965,0.09237650871276855,0.06666553497314454,0.12019039154052734,0.07308048725128174,0.5076237487792968,0.06666553497314454,0.661613998413086,0.07567659378051758,0.15297569274902345,6.325492553710937,0.06737633705139161,0.8460395812988281,0.9239050694192429
forward_1.0,1.0,0.0,0.0,1.0,8,6.0,2.0,0.0,0.0,0.0,0.6388933062553406,0.3374779522418976,0.20722171664237976,0.7120845031738281,0.03512481451034546,-0.011100451946258545,0.28791505813598633,0.06609607696533203,0.2985724449157715,0.0676565170288086,0.7120845031738281,0.06609607696533203,0.6570229339599609,0.11157535552978516,0.1673116683959961,7.7059478759765625,0.057382359504699706,0.7120845031738281,0.6873637598034572
backward_0.3,-0.3,0.0,0.0,0.3,8,6.0,2.0,0.0,0.0,0.0,0.6585466265678406,0.11647754907608032,0.17762568593025208,-0.2781716918945312,0.01019212007522583,-0.054500308036804196,0.023616995811462402,0.06320924758911133,0.07038421154022217,0.07053967475891114,0.2781716918945312,0.06320924758911133,0.6682598876953125,0.0460075569152832,0.156581392288208,5.06833984375,0.07147715091705323,0.9272389729817708,0.9610593322560509
backward_0.6,-0.6,0.0,0.0,0.6,8,6.0,2.0,0.0,0.0,0.0,0.6545694470405579,0.1724645346403122,0.23960205912590027,-0.4958544921875,0.024236009120941163,-0.07859700679779053,0.10414540290832519,0.06479125499725341,0.1266631031036377,0.09177468299865722,0.4958544921875,0.06479125499725341,0.6678826904296875,0.04786107540130615,0.16657159805297853,5.797701416015625,0.06856081485748292,0.8264241536458333,0.9067717298982251
backward_1.0,-1.0,0.0,0.0,1.0,8,6.0,2.0,0.0,0.0,0.0,0.6445699334144592,0.33415067195892334,0.3101436197757721,-0.7089152526855469,0.035713396072387694,-0.1005899715423584,0.29108491897583005,0.06600763320922852,0.3010938262939453,0.10783628463745117,0.7089152526855469,0.06600763320922852,0.6657122039794922,0.055113906860351565,0.17830455780029297,6.576599731445312,0.06000150203704834,0.7089152526855469,0.6642181621148716
left_0.3,0.0,0.3,0.0,0.3,8,6.0,2.0,0.0,0.0,0.0,0.6530017256736755,0.18765345215797424,0.13832415640354156,0.000821409672498703,0.23365144729614257,0.009478755593299866,0.01382588267326355,0.08256736755371094,0.08568279266357422,0.03933369159698486,0.23365144729614257,0.01382588267326355,0.6664547729492187,0.06590501308441161,0.16515810012817383,4.498670654296875,0.07097762584686279,0.7788381576538086,0.9650699231811648
left_0.6,0.0,0.6,0.0,0.6,8,6.0,2.0,0.0,0.0,0.0,0.6407630443572998,0.31400102376937866,0.1203327476978302,0.011093525886535645,0.408614501953125,-0.02828134536743164,0.018193330764770508,0.191385498046875,0.1936627197265625,0.060657892227172855,0.408614501953125,0.018193330764770508,0.6644670104980469,0.06997939109802247,0.19684185028076173,4.8626925659179685,0.06638655185699463,0.681024169921875,0.8481154440493804
left_1.0,0.0,1.0,0.0,1.0,8,6.0,2.0,0.0,0.0,0.0,0.6252596974372864,0.6310421824455261,0.23026412725448608,-0.036640381813049315,0.5054342651367187,-0.09100472450256347,0.04119389057159424,0.4945656204223633,0.4967749404907227,0.10144153594970703,0.5054342651367187,0.04119389057159424,0.6585516357421874,0.0940077018737793,0.21907127380371094,5.481671142578125,0.0531503438949585,0.5054342651367187,0.3576133490356082
