name,cmd_vx,cmd_vy,cmd_wz,cmd_xy_speed,envs,duration_s,warmup_s,reset_events_per_env,ever_reset_frac,fall_frac,min_height,max_xy_err,max_yaw_err,vx,vy,wz,abs_vx_err,abs_vy_err,xy_err,yaw_err,along,orth_abs,base_height,tilt,action_abs,torque_abs,reward,speed_ratio,score_tracking
stand,0.0,0.0,0.0,0.0,8,6.0,2.0,0.0,0.0,0.0,0.6595658659934998,0.004895846359431744,0.007152045611292124,-0.0008140657842159271,-0.0007780250906944275,0.0029063546657562256,0.000814068615436554,0.0007926534861326217,0.001200321763753891,0.002946816384792328,0.0,0.0,0.6601910400390625,0.06459413051605224,0.05631103515625,4.876664733886718,0.051683993339538575,,0.9999595028234639
forward_0.3,0.3,0.0,0.0,0.3,8,6.0,2.0,0.0,0.0,0.0,0.6647601127624512,0.3501315712928772,0.2589332163333893,0.016290217638015747,0.04117546558380127,0.05410841464996338,0.2837099075317383,0.0803975772857666,0.29879098892211914,0.1029583740234375,0.016290217638015747,0.0803975772857666,0.6721014404296874,0.07067572593688964,0.1676040458679199,4.027114562988281,0.06531337261199952,0.05430072546005249,0.6706513146520758
forward_0.6,0.6,0.0,0.0,0.6,8,6.0,2.0,0.0,0.0,0.0,0.6619399785995483,0.5656404495239258,0.24007107317447662,0.07607194900512695,0.04240298271179199,0.02883430480957031,0.5239280319213867,0.08155046463012695,0.5325663375854492,0.11529728889465332,0.07607194900512695,0.08155046463012695,0.669903793334961,0.09144046783447266,0.16330327987670898,4.184056701660157,0.05674818515777588,0.1267865816752116,0.3049274269779551
forward_1.0,1.0,0.0,0.0,1.0,8,6.0,2.0,0.0,0.0,0.0,0.656615138053894,0.9477159380912781,0.279537558555603,0.08070437431335449,0.0481104850769043,0.0008741851896047592,0.9192955017089843,0.08328824043273926,0.9246229553222656,0.15296972274780274,0.08070437431335449,0.08328824043273926,0.6639285278320313,0.14449109077453615,0.16215158462524415,4.952804260253906,0.048049302101135255,0.08070437431335449,0.029798137651324025
backward_0.3,-0.3,0.0,0.0,0.3,8,6.0,2.0,0.0,0.0,0.0,0.6616940498352051,0.18712960183620453,0.23535864055156708,-0.26428943634033203,0.06048785209655762,0.017899532318115235,0.038942384719848636,0.08291136741638183,0.09599024772644044,0.09716458320617676,0.26428943634033203,0.08291136741638183,0.6732919311523438,0.06297759532928467,0.16279396057128906,4.912505187988281,0.06939157485961914,0.8809647878011068,0.9280957844196815
backward_0.6,-0.6,0.0,0.0,0.6,8,6.0,2.0,0.0,0.0,0.0,0.6576969623565674,0.276839017868042,0.2489442229270935,-0.4086309051513672,0.06329963684082031,-0.016423449516296387,0.19136924743652345,0.07890149116516114,0.21294500350952147,0.0949849796295166,0.4086309051513672,0.07890149116516114,0.6724663543701171,0.068507981300354,0.16221424102783202,5.74524169921875,0.06465656280517579,0.681051508585612,0.8045510302892219
backward_1.0,-1.0,0.0,0.0,1.0,8,6.0,2.0,0.0,0.0,0.0,0.648544430732727,0.48789846897125244,0.4042491912841797,-0.5678656768798828,0.08082742691040039,-0.07084574222564698,0.4321343994140625,0.08215829849243164,0.44343902587890627,0.10121660232543946,0.5678656768798828,0.08215829849243164,0.6712368774414063,0.07594602108001709,0.1688005256652832,6.798646240234375,0.05222974300384522,0.5678656768798828,0.437126837049491
left_0.3,0.0,0.3,0.0,0.3,8,6.0,2.0,0.0,0.0,0.0,0.6646034717559814,0.28843364119529724,0.24150539934635162,-0.1118553638458252,0.18074790954589845,0.025260171890258788,0.1118553638458252,0.11950040817260742,0.17334741592407227,0.10616945266723633,0.18074790954589845,0.1118553638458252,0.6732225036621093,0.07008948326110839,0.16003379821777344,4.384201354980469,0.06803796768188476,0.6024930318196615,0.8476519895125966
left_0.6,0.0,0.6,0.0,0.6,8,6.0,2.0,0.0,0.0,0.0,0.6602537631988525,0.47837117314338684,0.21575815975666046,-0.0880053424835205,0.2605386161804199,0.05393744945526123,0.0880053424835205,0.3394611358642578,0.35079944610595704,0.07554578304290771,0.2605386161804199,0.0880053424835205,0.6722569274902344,0.056042327880859374,0.1760221862792969,4.486062927246094,0.06267830848693848,0.43423102696736654,0.5974589700568447
left_1.0,0.0,1.0,0.0,1.0,8,6.0,2.0,0.0,0.0,0.0,0.6515026688575745,0.834185779094696,0.18276621401309967,-0.09972970962524413,0.32898780822753904,0.06640303134918213,0.09972970962524413,0.6710120391845703,0.6785142517089844,0.07508270740509033,0.32898780822753904,0.09972970962524413,0.6689928436279297,0.055390748977661136,0.18405954360961915,4.833501281738282,0.05234028816223144,0.32898780822753904,0.15503939843755696
