name,cmd_vx,cmd_vy,cmd_wz,cmd_xy_speed,envs,duration_s,warmup_s,reset_events_per_env,ever_reset_frac,fall_frac,min_height,max_xy_err,max_yaw_err,vx,vy,wz,abs_vx_err,abs_vy_err,xy_err,yaw_err,along,orth_abs,base_height,tilt,action_abs,torque_abs,reward,speed_ratio,score_tracking
stand,0.0,0.0,0.0,0.0,8,6.0,2.0,0.0,0.0,0.0,0.6664215922355652,0.013194923289120197,0.015662716701626778,0.0006094884499907494,-0.0007415157556533813,-0.0027370503544807434,0.001190502792596817,0.0007594601064920425,0.0015219126641750336,0.003549013435840607,0.0,0.0,0.6669523620605469,0.03133126020431518,0.07092182636260987,4.955141906738281,0.052548213005065916,,0.9999403549207377
forward_0.3,0.3,0.0,0.0,0.3,8,6.0,2.0,0.0,0.0,0.0,0.6613605618476868,0.20730507373809814,0.21794146299362183,0.17341079711914062,0.028934719562530516,-0.02192016363143921,0.12658918380737305,0.0766731309890747,0.1527775001525879,0.10210259437561035,0.17341079711914062,0.0766731309890747,0.670118408203125,0.06972301006317139,0.1676601791381836,4.395043640136719,0.06953741073608398,0.5780359903971354,0.8736603299874299
forward_0.6,0.6,0.0,0.0,0.6,8,6.0,2.0,0.0,0.0,0.0,0.6566556096076965,0.3594358563423157,0.2950562834739685,0.2976343536376953,0.04827069759368897,-0.05065525531768799,0.3023658752441406,0.0792204475402832,0.3164053726196289,0.11163313865661621,0.2976343536376953,0.0792204475402832,0.6685983276367188,0.08165221214294434,0.16749729156494142,5.07718505859375,0.06301522254943848,0.4960572560628255,0.6374386321510885
forward_1.0,1.0,0.0,0.0,1.0,8,6.0,2.0,0.0,0.0,0.0,0.6541061401367188,0.6674141883850098,0.4260943830013275,0.3936862564086914,0.07925106048583984,-0.09723138809204102,0.6063140869140625,0.08881108283996582,0.6163076019287109,0.15599170684814453,0.3936862564086914,0.08881108283996582,0.6658321380615234,0.11564930915832519,0.17090526580810547,5.848038940429688,0.050388221740722654,0.3936862564086914,0.19855802757904575
backward_0.3,-0.3,0.0,0.0,0.3,8,6.0,2.0,0.0,0.0,0.0,0.6617433428764343,0.17017589509487152,0.17309485375881195,-0.2290920639038086,0.01704199433326721,0.009764293432235718,0.07090807914733886,0.07655807971954345,0.10901932716369629,0.07963637828826904,0.2290920639038086,0.07655807971954345,0.6718058776855469,0.0565870475769043,0.16454313278198243,4.601828918457032,0.07071039199829102,0.7636402130126954,0.9296857382807638
backward_0.6,-0.6,0.0,0.0,0.6,8,6.0,2.0,0.0,0.0,0.0,0.6559946537017822,0.25225457549095154,0.19336727261543274,-0.4196768569946289,0.021022515296936037,-0.01860378384590149,0.18032318115234375,0.07515095233917236,0.19850919723510743,0.07861767768859863,0.4196768569946289,0.07515095233917236,0.67105224609375,0.05783683300018311,0.1670023536682129,5.312034912109375,0.0670372200012207,0.6994614283243815,0.8333124954819123
backward_1.0,-1.0,0.0,0.0,1.0,8,6.0,2.0,0.0,0.0,0.0,0.6445457339286804,0.4264049828052521,0.2534278333187103,-0.6107347488403321,0.01958317756652832,-0.08394091606140136,0.38926536560058594,0.07045102119445801,0.397050666809082,0.08853525161743164,0.6107347488403321,0.07045102119445801,0.6689201354980469,0.06373074531555176,0.17461814880371093,6.338920288085937,0.05660672664642334,0.6107347488403321,0.5158439967097235
left_0.3,0.0,0.3,0.0,0.3,8,6.0,2.0,0.0,0.0,0.0,0.6619988083839417,0.25157567858695984,0.22486916184425354,-0.002930428385734558,0.1897118377685547,-0.0011436419934034347,0.013644781112670899,0.11228584289550782,0.1154084873199463,0.09787848472595215,0.1897118377685547,0.013644781112670899,0.6735001373291015,0.07241856575012207,0.16862110137939454,4.091826171875,0.06961459159851074,0.632372792561849,0.912472558484939
left_0.6,0.0,0.6,0.0,0.6,8,6.0,2.0,0.0,0.0,0.0,0.6564371585845947,0.4459080100059509,0.18230654299259186,0.005184348821640015,0.2891734504699707,-0.03811823606491089,0.012248992919921875,0.3108266067504883,0.31127201080322264,0.0943078327178955,0.2891734504699707,0.012248992919921875,0.6713190460205078,0.08308541297912597,0.18085107803344727,4.017024841308594,0.06360586643218995,0.48195575078328456,0.6549889405894359
left_1.0,0.0,1.0,0.0,1.0,8,6.0,2.0,0.0,0.0,0.0,0.6453134417533875,0.7901227474212646,0.280287504196167,-0.02949516534805298,0.37647205352783203,-0.08813176155090333,0.030333712100982665,0.6235279083251953,0.6244441223144531,0.10504182815551757,0.37647205352783203,0.030333712100982665,0.6670366668701172,0.10015608787536621,0.1843179702758789,4.406908874511719,0.052989015579223635,0.37647205352783203,0.20111930491417349
