name,cmd_vx,cmd_vy,cmd_wz,cmd_xy_speed,envs,duration_s,warmup_s,reset_events_per_env,ever_reset_frac,max_xy_err,max_yaw_err,vx,vy,wz,abs_vx_err,abs_vy_err,xy_err,yaw_err,along,orth_abs,base_height,tilt,action_abs,torque_abs,reward,speed_ratio,score_tracking
stand,0.0,0.0,0.0,0.0,4,1.0,0.2,0.0,0.0,0.15954738855361938,0.1813834309577942,-0.04401206374168396,0.018630671501159667,-0.041107934713363645,0.04401206374168396,0.04393852949142456,0.06698800325393676,0.04623201191425323,0.0,0.0,0.6710107803344727,0.07439263463020325,0.09213408231735229,3.405634307861328,0.05224407315254211,,0.9738488560033706
forward_0.3,0.3,0.0,0.0,0.3,4,1.0,0.2,0.0,0.0,0.4440833330154419,0.3081732392311096,0.10091346502304077,0.17119001150131224,0.012968431413173675,0.19908654689788818,0.17119001150131224,0.2688115119934082,0.09240434765815735,0.10091346502304077,0.17119001150131224,0.6675732135772705,0.06558327078819275,0.15121806859970094,5.495902252197266,0.06293091773986817,0.33637821674346924,0.7238343075341229
forward_0.6,0.6,0.0,0.0,0.6,4,1.0,0.2,0.0,0.0,0.6810909509658813,0.3177888095378876,0.1784187912940979,0.18939851522445678,-0.01159466728568077,0.42158117294311526,0.18939851522445678,0.46710968017578125,0.11939859390258789,0.1784187912940979,0.18939851522445678,0.6662204742431641,0.0840280830860138,0.15464067459106445,6.440565490722657,0.05309978723526001,0.29736465215682983,0.39463661080570833
forward_1.0,1.0,0.0,0.0,1.0,4,1.0,0.2,0.0,0.0,1.0207061767578125,0.37689176201820374,0.274326491355896,0.1731793165206909,-0.01613669842481613,0.7256734371185303,0.1731793165206909,0.7495046138763428,0.16060264110565187,0.274326491355896,0.1731793165206909,0.6622109413146973,0.11498738527297973,0.17193329334259033,7.6929443359375,0.042619320750236514,0.274326491355896,0.09534994743618759
backward_0.3,-0.3,0.0,0.0,0.3,4,1.0,0.2,0.0,0.0,0.40651580691337585,0.23136521875858307,-0.19072117805480956,0.15994230508804322,-0.003204592689871788,0.10927886962890625,0.16080092191696166,0.19926996231079103,0.07472295761108398,0.19072117805480956,0.16080092191696166,0.6680458545684814,0.06360124349594116,0.1644842267036438,5.065109634399414,0.0655243456363678,0.6357372601826986,0.8342950576048707
backward_0.6,-0.6,0.0,0.0,0.6,4,1.0,0.2,0.0,0.0,0.5894462466239929,0.19079309701919556,-0.2931142568588257,0.13765636682510377,-0.01672089546918869,0.3068856716156006,0.14334689378738402,0.3451444149017334,0.07649391889572144,0.2931142568588257,0.14334689378738402,0.6683024883270263,0.06324967741966248,0.17171900272369384,5.204975509643555,0.06040429472923279,0.48852376143137616,0.6065889215616176
backward_1.0,-1.0,0.0,0.0,1.0,4,1.0,0.2,0.0,0.0,0.9649598598480225,0.26413485407829285,-0.3988910913467407,0.1352803111076355,-0.008666762709617614,0.6011088848114013,0.13938554525375366,0.621772289276123,0.08394374251365662,0.3988910913467407,0.13938554525375366,0.6654092788696289,0.07069050073623658,0.18466280698776244,5.946975326538086,0.050697559118270875,0.3988910913467407,0.20709258266100022
left_0.3,0.0,0.3,0.0,0.3,4,1.0,0.2,0.0,0.0,0.15815988183021545,0.3632522225379944,-0.030590230226516725,0.28015015125274656,0.08242990970611572,0.03560669422149658,0.06728454828262329,0.08585894107818604,0.11524454355239869,0.28015015125274656,0.03560669422149658,0.6669511318206787,0.06132515072822571,0.1706537127494812,5.131950378417969,0.06752670407295228,0.9338338375091553,0.9207080822730589
left_0.6,0.0,0.6,0.0,0.6,4,1.0,0.2,0.0,0.0,0.42151862382888794,0.40438246726989746,-0.04232471883296966,0.37409517765045164,0.10843214988708497,0.04324494898319244,0.22590489387512208,0.23135862350463868,0.13348568677902223,0.37409517765045164,0.04324494898319244,0.6646545886993408,0.06739572882652282,0.190832257270813,5.275899124145508,0.06237764954566956,0.6234919627507528,0.7517278177891501
left_1.0,0.0,1.0,0.0,1.0,4,1.0,0.2,0.0,0.0,0.8201426863670349,0.4444877803325653,-0.030572614073753356,0.43106827735900877,0.10536819696426392,0.03075859248638153,0.5689316749572754,0.5699354648590088,0.15685055255889893,0.43106827735900877,0.03075859248638153,0.6606768608093262,0.07930493354797363,0.21538758277893066,5.313686370849609,0.050390392541885376,0.43106827735900877,0.2471612998230514
