name,cmd_vx,cmd_vy,cmd_wz,cmd_xy_speed,envs,duration_s,warmup_s,reset_events_per_env,ever_reset_frac,fall_frac,min_height,max_xy_err,max_yaw_err,vx,vy,wz,abs_vx_err,abs_vy_err,xy_err,yaw_err,along,orth_abs,base_height,tilt,action_abs,torque_abs,reward,speed_ratio,score_tracking
stand,0.0,0.0,0.0,0.0,16,8.0,2.0,0.0,0.0,0.0,0.6649752855300903,0.009824752807617188,0.005647880956530571,-0.001512359380722046,-0.00025193882485230766,0.0009367358684539795,0.001512359380722046,0.000252034788330396,0.0015373409787813822,0.0009381094574928284,0.0,0.0,0.6664140319824219,0.044107004801432294,0.08756410598754882,3.677542724609375,0.05358862559000651,,0.9999870262176032
forward_0.3,0.3,0.0,0.0,0.3,16,8.0,2.0,0.0,0.0,0.0,0.6498985886573792,0.12407930195331573,0.1776188760995865,0.2636262512207031,0.012215977509816487,-0.03828804651896159,0.03654743194580078,0.0643199348449707,0.07913057963053385,0.0542271359761556,0.2636262512207031,0.0643199348449707,0.6632794189453125,0.0664462153116862,0.14892431894938152,5.452252197265625,0.07083724975585938,0.8787541707356771,0.9638602886747972
forward_0.6,0.6,0.0,0.0,0.6,16,8.0,2.0,0.0,0.0,0.0,0.6451014280319214,0.17021875083446503,0.19054873287677765,0.4961003112792969,0.02733812650044759,-0.040968713760375974,0.10389872233072917,0.0658147939046224,0.12894143422444662,0.0726409657796224,0.4961003112792969,0.0658147939046224,0.6608804829915365,0.07996718088785808,0.1533395512898763,6.425947672526042,0.06717117309570313,0.8268338521321615,0.9161177143242214
forward_1.0,1.0,0.0,0.0,1.0,16,8.0,2.0,0.0,0.0,0.0,0.6399003863334656,0.3512152135372162,0.19956810772418976,0.7178226725260417,0.028899211883544922,-0.015449428558349609,0.2821781667073568,0.06575559616088868,0.29254915873209636,0.058425305684407555,0.7178226725260417,0.06575559616088868,0.6581278991699219,0.10350852966308594,0.165769411722819,7.526678059895834,0.05789674758911133,0.7178226725260417,0.7004767484991292
backward_0.3,-0.3,0.0,0.0,0.3,16,8.0,2.0,0.0,0.0,0.0,0.6585769653320312,0.12156790494918823,0.16726188361644745,-0.2800366465250651,0.010831529299418132,-0.05151460329691569,0.022028730710347492,0.06336439768473308,0.06982055028279623,0.07244577407836914,0.2800366465250651,0.06336439768473308,0.6682193501790364,0.047400525410970056,0.15559789021809897,5.066656494140625,0.07139609654744467,0.9334554884168837,0.9603156968500127
backward_0.6,-0.6,0.0,0.0,0.6,16,8.0,2.0,0.0,0.0,0.0,0.6545741558074951,0.17346633970737457,0.2480197548866272,-0.49322499593098956,0.023735257784525555,-0.07936620076497396,0.10677552541097005,0.0642547098795573,0.12841425577799478,0.09475127538045247,0.49322499593098956,0.0642547098795573,0.6679766845703125,0.04637976328531901,0.16755154927571614,5.786107584635417,0.06861737569173178,0.8220416598849827,0.9031450555478177
backward_1.0,-1.0,0.0,0.0,1.0,16,8.0,2.0,0.0,0.0,0.0,0.6434383988380432,0.3337830603122711,0.30944836139678955,-0.7124776713053386,0.03487432797749837,-0.1024290148417155,0.2875226593017578,0.06648045221964519,0.2977361551920573,0.110322265625,0.7124776713053386,0.06648045221964519,0.6654999796549479,0.05696719487508138,0.17761941274007162,6.637108561197917,0.05963871002197266,0.7124776713053386,0.6681308231343566
left_0.3,0.0,0.3,0.0,0.3,16,8.0,2.0,0.0,0.0,0.0,0.6515400409698486,0.18769851326942444,0.1401807963848114,0.011718776226043701,0.24578473409016927,0.011672697861989339,0.018411614100138345,0.07779261906941731,0.083257261912028,0.03810441970825195,0.24578473409016927,0.018411614100138345,0.6664818827311197,0.0630322265625,0.16964691162109374,4.582012939453125,0.07104419072469076,0.819282446967231,0.9670211868919621
left_0.6,0.0,0.6,0.0,0.6,16,8.0,2.0,0.0,0.0,0.0,0.639972448348999,0.32703089714050293,0.13829222321510315,0.011978851159413656,0.409973882039388,-0.02767480214436849,0.01972331682840983,0.19002632141113282,0.1928195063273112,0.05942137400309245,0.409973882039388,0.01972331682840983,0.6644473266601563,0.0702549680074056,0.1968585459391276,4.85292236328125,0.06633629480997721,0.68328980339898,0.8497262443565357
left_1.0,0.0,1.0,0.0,1.0,16,8.0,2.0,0.0,0.0,0.0,0.6268696188926697,0.6325547695159912,0.22799189388751984,-0.04233366330464681,0.49971018473307294,-0.09052420298258464,0.04432647069295247,0.5002898152669271,0.5027495320638021,0.10063265482584635,0.49971018473307294,0.04432647069295247,0.6584346008300781,0.09500415166219076,0.21884478251139322,5.502877197265625,0.05307064374287923,0.49971018473307294,0.34940062488551327
