name,cmd_vx,cmd_vy,cmd_wz,cmd_xy_speed,steps,warmup_steps,duration_s,warmup_s,envs,reset_events_per_env,ever_reset_frac,max_xy_err,max_yaw_err,vx,vy,wz,abs_vx_err,abs_vy_err,xy_err,yaw_err,along,orth_abs,base_height,tilt,action_abs,torque_abs,reward,speed_ratio,score_tracking
stand,0.0,0.0,0.0,0.0,150,50,3.0,1.0,64,0.0,0.0,0.04920434579253197,0.0329098254442215,-0.009258749436121434,-0.0006988875921160797,0.0034954786143498494,0.009258749436121434,0.0011404915955790784,0.009374621852766723,0.004408081456786022,0.0,0.0,0.6673346304893494,0.05046092610806227,0.08963036514818669,3.6816763854026795,0.053502838984131815,,0.9995708332503584
forward_0.3,0.3,0.0,0.0,0.3,150,50,3.0,1.0,64,0.0,0.0,0.12942031025886536,0.17464591562747955,0.26020841002464296,0.006284237060463056,-0.034842898717615756,0.04002266701310873,0.06120958812534809,0.0786055490374565,0.05507641875185072,0.26020841002464296,0.06120958812534809,0.6638592499494552,0.06309577856212854,0.14951842829585074,5.430944797992706,0.07088312286883593,0.8673613667488099,0.9638216836311393
forward_0.6,0.6,0.0,0.0,0.6,150,50,3.0,1.0,64,0.0,0.0,0.2869241535663605,0.2503478527069092,0.4748428615927696,0.02612110422924161,-0.04148707490880042,0.12515716291964055,0.06665520613081753,0.14833856955170632,0.07663225073367358,0.4748428615927696,0.06665520613081753,0.6618523371219635,0.07775352321565152,0.15263271845877172,6.279866278171539,0.06677624059841036,0.7914047693212827,0.8944848327689966
