name,cmd_vx,cmd_vy,cmd_wz,cmd_xy_speed,steps,warmup_steps,duration_s,warmup_s,envs,reset_events_per_env,ever_reset_frac,max_xy_err,max_yaw_err,vx,vy,wz,abs_vx_err,abs_vy_err,xy_err,yaw_err,along,orth_abs,base_height,tilt,action_abs,torque_abs,reward,speed_ratio,score_tracking
stand,0.0,0.0,0.0,0.0,400,100,8.0,2.0,256,0.0,0.0,0.017719589173793793,0.0060501364059746265,-0.0006855113968898271,0.00019979457353959637,0.0024226334985966483,0.0011786641252304738,0.00031580361532784686,0.0012749474909893859,0.0024763522025508184,0.0,0.0,0.6685644322633744,0.039824212429424126,0.1991641748448213,2.5684805051485697,0.052069117178519565,,0.9999278427937803
forward_0.5,0.5,0.0,0.0,0.5,400,100,8.0,2.0,256,0.0,0.0,0.11833545565605164,0.10840018093585968,0.5010555261373519,0.02372503441913674,0.026832416482890645,0.013122891043700898,0.05761192019640778,0.060514481759940585,0.034864301191022,0.5010555276274681,0.05761192019640778,0.6476766268412272,0.031720000654459,0.18401671588420868,5.934886388778686,0.06924296018357078,1.0021110552549362,0.9640920079512799
forward_1.0,1.0,0.0,0.0,1.0,400,100,8.0,2.0,256,0.0,0.0,0.13249248266220093,0.17434147000312805,0.9359659028053283,0.027125898003966236,0.0038442421386328837,0.06403409574180842,0.05504162378143519,0.09125953787316879,0.04185599781262378,0.9359659024079641,0.05504162378143519,0.634632439215978,0.041715512809654076,0.21102425292134286,7.190188371340434,0.062167852360241034,0.9359659024079641,0.9295624687805707
forward_1.5,1.5,0.0,0.0,1.5,400,100,8.0,2.0,256,0.0,0.0,0.27941790223121643,0.26506125926971436,1.2882649099826813,0.0016211034754815045,-0.016278281069147246,0.2117350849012534,0.05556572368058066,0.22150746027628582,0.07327584901203711,1.2882649151484171,0.05556572368058066,0.6263413188854853,0.0536394213202099,0.2369650696714719,8.277113930384319,0.053013774345566464,0.8588432767656115,0.6833164520058158
backward_0.5,-0.5,0.0,0.0,0.5,400,100,8.0,2.0,256,0.0,0.0,0.13925382494926453,0.1389230340719223,-0.46438247481981915,0.017086876570635165,0.041294640466415636,0.03725704546396931,0.06599352375604212,0.08042526695877314,0.047054131515324116,0.4643824741244316,0.06599352375604212,0.658210131128629,0.03657001559312145,0.19534676790237426,5.186694678465526,0.06938441921025515,0.9287649482488632,0.9368216059823941
backward_1.0,-1.0,0.0,0.0,1.0,400,100,8.0,2.0,256,0.0,0.0,0.16844987869262695,0.16907566785812378,-0.9603014667828877,0.04329722004535142,-0.003054256561057021,0.03990258399552355,0.06612561037919173,0.0824589733282725,0.04087130716380974,0.9603014675776164,0.06612561037919173,0.6482605202992757,0.054628892752031484,0.2275522194802761,6.0846622021993,0.063566317189155,0.9603014675776164,0.9398504431811051
backward_1.5,-1.5,0.0,0.0,1.5,400,100,8.0,2.0,256,0.0,0.0,0.24845115840435028,0.2967000901699066,-1.3384787519772847,0.03301337424122418,-0.043164227043356124,0.16152124777436255,0.05738128295168281,0.1746759376923243,0.08204422933980822,1.3384787543614705,0.05738128295168281,0.6326981906096141,0.068477200816075,0.2695904211203257,7.856099514961243,0.05481589376289169,0.8923191695743137,0.7628271776636282
left_0.5,0.0,0.5,0.0,0.5,400,100,8.0,2.0,256,0.0,0.0,0.17755770683288574,0.12387418746948242,0.01843275162468975,0.5163504878679911,0.03397338692855555,0.01916215305837492,0.08066546990070492,0.08435680362085501,0.04211771477945149,0.5163504885633786,0.01916215305837492,0.6484990094105403,0.026256088794519503,0.20595629940430324,5.466822641690572,0.06813454704359173,1.0327009771267572,0.93689928632767
left_1.0,0.0,1.0,0.0,1.0,400,100,8.0,2.0,256,0.0,0.0,0.40995389223098755,0.18847566843032837,0.040441784827659526,0.7962848198413849,0.011897815365033844,0.040441784827659526,0.20406840569494913,0.2132642397036155,0.03667903031377743,0.7962848174571991,0.040441784827659526,0.6321752204497655,0.03216893045542141,0.2530182063579559,6.358292363484701,0.05946557626094242,0.7962848174571991,0.7285752101839114
left_1.5,0.0,1.5,0.0,1.5,400,100,8.0,2.0,256,0.0,0.0,0.7665070295333862,0.4376906454563141,0.05719917533919215,0.9704236352443695,-0.08026230957058336,0.057199175134301186,0.5295763634641966,0.5328160394231478,0.08727004967940351,0.9704236348470052,0.057199175134301186,0.6197041666507721,0.04710884200098614,0.2890373061597347,7.171633639335632,0.045575132421630166,0.6469490898980035,0.13962707485760306
right_0.5,0.0,-0.5,0.0,0.5,400,100,8.0,2.0,256,0.0,0.0,0.16263455152511597,0.13583776354789734,0.02636780835251557,-0.4740357548991839,0.019764964655963314,0.028547699696694812,0.07940410280522579,0.0863446482239912,0.030675846648712955,0.47403575470050174,0.028547699696694812,0.6468135559558869,0.026930863891417783,0.20235606163740158,5.561693092187245,0.06945652255167564,0.9480715094010035,0.9426005030062332
right_1.0,0.0,-1.0,0.0,1.0,400,100,8.0,2.0,256,0.0,0.0,0.39835092425346375,0.21507319808006287,0.023373702581059964,-0.7850060331821441,0.05163516591123577,0.029301328066115576,0.21505024072403708,0.21771073761085669,0.0537378806155175,0.7850060337781906,0.029301328066115576,0.6325312068065008,0.04286348059463004,0.2552877820531527,6.349950791994731,0.06010753991105351,0.7850060337781906,0.7083166544194588
right_1.5,0.0,-1.5,0.0,1.5,400,100,8.0,2.0,256,0.0,0.0,0.7516090273857117,0.41907888650894165,0.06259453365579247,-0.9694626073042552,0.11111744350443284,0.06259453377376,0.5305373912056287,0.5343621839086214,0.11323261578877766,0.9694626094897588,0.06259453377376,0.6189840982357661,0.05174797753492991,0.29787896245718004,7.151768717765808,0.045116410220212705,0.6463084063265059,0.13109462651579026
diag_fl_1.0,0.7071067811865476,0.7071067811865476,0.0,1.0000000000000002,400,100,8.0,2.0,256,0.0,0.0,0.21127647161483765,0.23373274505138397,0.6911302467187246,0.6474568402767181,0.027913895397408243,0.02073617124930024,0.09165194869662324,0.09753624216963848,0.07282698723797996,0.9465239928166072,0.05842040527922412,0.6340629271666209,0.043464797078631816,0.2344151215751966,7.284625504811605,0.061300714172751514,0.9465239928166069,0.890065855296042
diag_fr_1.0,0.7071067811865476,-0.7071067811865476,0.0,1.0000000000000002,400,100,8.0,2.0,256,0.0,0.0,0.17718882858753204,0.293837308883667,0.6778186813990275,-0.6506328334410986,0.013223707663904254,0.03624868088401854,0.08066664066320905,0.09630705401301384,0.050866774146755535,0.9393570617834727,0.06295387746610989,0.6285555418332418,0.04339049107705553,0.22893225625157357,7.373228042920431,0.06225514851588135,0.9393570617834724,0.916028368503658
diag_bl_1.0,-0.7071067811865476,0.7071067811865476,0.0,1.0000000000000002,400,100,8.0,2.0,256,0.0,0.0,0.21166200935840607,0.20250464975833893,-0.6206967403491338,0.6641791397333145,-0.0028652695110455775,0.0864100232720375,0.08698048515090098,0.13075373383859792,0.04033407883097728,0.9085444378852844,0.06506457270278285,0.6481203218301137,0.04008701004087925,0.2409494831164678,6.228007108370463,0.062346079622463246,0.9085444378852842,0.8778800559307417
diag_br_1.0,-0.7071067811865476,-0.7071067811865476,0.0,1.0000000000000002,400,100,8.0,2.0,256,0.0,0.0,0.24916380643844604,0.21795840561389923,-0.6621939710776011,-0.6199845870335897,0.006567745890545969,0.045402521011419596,0.10604504749799769,0.11768627760310968,0.0512258193269372,0.9066371345520019,0.049285416927499076,0.6415029855569204,0.04957150539383292,0.24862497866153718,6.240139405727387,0.06307715328061021,0.9066371345520017,0.8881855735817751
diag_fl_1.5,1.0606601717798214,1.0606601717798214,0.0,1.5000000000000002,400,100,8.0,2.0,256,0.0,0.0,0.4407435655593872,0.3182600140571594,0.9293139483531316,0.7991790839036306,0.022085459136093655,0.13134617442886035,0.2614810391763846,0.2982117615143458,0.09384065378457308,1.2222291254997253,0.09740305619469533,0.6218189781904221,0.05795351315289736,0.266255179643631,8.502108318010967,0.048534253808773735,0.8148194169998167,0.5061465395690293
diag_fr_1.5,1.0606601717798214,-1.0606601717798214,0.0,1.5000000000000002,400,100,8.0,2.0,256,0.0,0.0,0.4488561153411865,0.4442278742790222,0.989338871439298,-0.7958266544342041,0.05830679470576191,0.07209508883145949,0.26483347348868846,0.2800551241139571,0.10946313825125496,1.2623026223977407,0.13749103679321706,0.6178813848892848,0.05782784763723612,0.27173997099200886,8.480705342292786,0.05009724401325608,0.8415350815984937,0.5258736680111951
