2026/05/03 20:40:09.815, 451, 24564, 1, 31
2026/05/03 20:40:14.943, 473, 24564, 0, 31
2026/05/03 20:40:20.022, 2304, 24564, 2, 33
2026/05/03 20:40:25.108, 2344, 24564, 4, 32
2026/05/03 20:40:30.182, 2344, 24564, 4, 32
2026/05/03 20:40:35.258, 2344, 24564, 4, 32
2026/05/03 20:40:40.336, 2344, 24564, 3, 32
2026/05/03 20:40:45.413, 2408, 24564, 4, 32
2026/05/03 20:40:50.489, 3380, 24564, 2, 32
2026/05/03 20:40:55.564, 6434, 24564, 1, 33
2026/05/03 20:41:00.639, 7388, 24564, 62, 37
2026/05/03 20:41:05.745, 15204, 24564, 88, 46
2026/05/03 20:41:10.819, 15270, 24564, 32, 39
2026/05/03 20:41:15.896, 15270, 24564, 13, 40
2026/05/03 20:41:20.974, 15270, 24564, 5, 40
2026/05/03 20:41:26.081, 15270, 24564, 6, 41
2026/05/03 20:41:31.173, 15270, 24564, 5, 43
2026/05/03 20:41:36.258, 15270, 24564, 60, 45
2026/05/03 20:41:41.346, 15270, 24564, 13, 44
2026/05/03 20:41:46.412, 15271, 24564, 4, 45
2026/05/03 20:41:51.486, 15271, 24564, 58, 46
2026/05/03 20:41:56.561, 15271, 24564, 4, 46
2026/05/03 20:42:01.640, 15271, 24564, 41, 47
2026/05/03 20:42:06.716, 15271, 24564, 41, 48
2026/05/03 20:42:11.814, 15271, 24564, 6, 49
2026/05/03 20:42:16.969, 15271, 24564, 6, 50
2026/05/03 20:42:22.043, 15271, 24564, 35, 52
2026/05/03 20:42:27.122, 15271, 24564, 6, 51
2026/05/03 20:42:32.221, 15271, 24564, 38, 53
2026/05/03 20:42:37.304, 15271, 24564, 61, 52
2026/05/03 20:42:42.380, 15271, 24564, 57, 53
2026/05/03 20:42:47.464, 15271, 24564, 29, 53
2026/05/03 20:42:52.541, 15271, 24564, 55, 54
2026/05/03 20:42:57.626, 15271, 24564, 13, 55
2026/05/03 20:43:02.716, 15271, 24564, 6, 54
2026/05/03 20:43:07.810, 15208, 24564, 6, 54
2026/05/03 20:43:12.945, 15203, 24564, 6, 58
2026/05/03 20:43:18.020, 15203, 24564, 5, 55
2026/05/03 20:43:23.093, 15203, 24564, 21, 55
2026/05/03 20:43:28.181, 15203, 24564, 60, 56
2026/05/03 20:43:33.261, 15203, 24564, 25, 55
2026/05/03 20:43:38.336, 15203, 24564, 5, 54
2026/05/03 20:43:43.410, 15203, 24564, 43, 54
2026/05/03 20:43:48.486, 15203, 24564, 6, 56
2026/05/03 20:43:53.563, 15203, 24564, 55, 64
2026/05/03 20:43:58.634, 15203, 24564, 6, 55
2026/05/03 20:44:03.705, 15203, 24564, 54, 55
2026/05/03 20:44:08.778, 15203, 24564, 5, 54
2026/05/03 20:44:13.930, 15203, 24564, 22, 58
2026/05/03 20:44:19.011, 15203, 24564, 50, 54
2026/05/03 20:44:24.093, 15203, 24564, 5, 54
2026/05/03 20:44:29.172, 15203, 24564, 8, 54
2026/05/03 20:44:34.245, 15203, 24564, 6, 57
2026/05/03 20:44:39.329, 15203, 24564, 20, 54
2026/05/03 20:44:44.400, 15203, 24564, 12, 55
2026/05/03 20:44:49.486, 15203, 24564, 32, 54
2026/05/03 20:44:54.560, 15203, 24564, 6, 58
2026/05/03 20:44:59.650, 15203, 24564, 47, 55
2026/05/03 20:45:04.718, 15203, 24564, 32, 54
2026/05/03 20:45:09.824, 15203, 24564, 6, 54
2026/05/03 20:45:14.903, 15203, 24564, 54, 58
2026/05/03 20:45:20.012, 15203, 24564, 5, 55
2026/05/03 20:45:25.098, 15203, 24564, 56, 55
2026/05/03 20:45:30.169, 15203, 24564, 11, 53
2026/05/03 20:45:35.246, 15203, 24564, 5, 55
2026/05/03 20:45:40.318, 15203, 24564, 5, 53
2026/05/03 20:45:45.387, 15203, 24564, 5, 54
2026/05/03 20:45:50.457, 15203, 24564, 8, 53
2026/05/03 20:45:55.525, 15203, 24564, 24, 57
2026/05/03 20:46:00.608, 15203, 24564, 42, 53
2026/05/03 20:46:05.727, 15203, 24564, 7, 55
2026/05/03 20:46:10.812, 15203, 24564, 13, 53
2026/05/03 20:46:15.883, 15203, 24564, 57, 54
2026/05/03 20:46:20.964, 15203, 24564, 6, 54
2026/05/03 20:46:26.036, 15203, 24564, 5, 55
2026/05/03 20:46:31.106, 15203, 24564, 6, 53
2026/05/03 20:46:36.185, 15203, 24564, 5, 54
2026/05/03 20:46:41.265, 15203, 24564, 58, 55
2026/05/03 20:46:46.336, 15203, 24564, 5, 54
2026/05/03 20:46:51.410, 15203, 24564, 32, 54
2026/05/03 20:46:56.478, 15203, 24564, 5, 57
2026/05/03 20:47:01.556, 15203, 24564, 19, 54
2026/05/03 20:47:06.628, 15203, 24564, 7, 56
2026/05/03 20:47:11.698, 15203, 24564, 46, 54
2026/05/03 20:47:16.772, 15203, 24564, 40, 56
2026/05/03 20:47:21.846, 15203, 24564, 54, 56
2026/05/03 20:47:26.954, 15203, 24564, 5, 56
2026/05/03 20:47:32.034, 15203, 24564, 59, 54
2026/05/03 20:47:37.126, 15203, 24564, 5, 55
2026/05/03 20:47:42.194, 15203, 24564, 5, 55
2026/05/03 20:47:47.333, 15203, 24564, 5, 54
2026/05/03 20:47:52.403, 15203, 24564, 36, 54
2026/05/03 20:47:57.469, 15203, 24564, 6, 56
2026/05/03 20:48:02.539, 15203, 24564, 57, 54
2026/05/03 20:48:07.606, 15203, 24564, 11, 54
2026/05/03 20:48:12.675, 15203, 24564, 6, 55
2026/05/03 20:48:17.769, 15203, 24564, 6, 56
2026/05/03 20:48:22.879, 15203, 24564, 20, 56
2026/05/03 20:48:27.958, 15203, 24564, 2, 53
2026/05/03 20:48:33.026, 15203, 24564, 13, 54
2026/05/03 20:48:38.095, 15203, 24564, 46, 55
2026/05/03 20:48:43.175, 15203, 24564, 5, 54
2026/05/03 20:48:48.292, 15203, 24564, 6, 54
2026/05/03 20:48:53.361, 15203, 24564, 35, 54
2026/05/03 20:48:58.433, 15203, 24564, 5, 56
2026/05/03 20:49:03.500, 15203, 24564, 9, 54
2026/05/03 20:49:08.568, 15203, 24564, 6, 56
2026/05/03 20:49:13.658, 15203, 24564, 19, 54
2026/05/03 20:49:18.728, 15203, 24564, 6, 64
2026/05/03 20:49:23.840, 15203, 24564, 24, 54
2026/05/03 20:49:28.917, 15203, 24564, 24, 54
2026/05/03 20:49:34.019, 15203, 24564, 5, 56
2026/05/03 20:49:39.088, 15203, 24564, 58, 55
2026/05/03 20:49:44.155, 15203, 24564, 6, 54
2026/05/03 20:49:49.225, 15203, 24564, 21, 54
2026/05/03 20:49:54.293, 15203, 24564, 16, 53
2026/05/03 20:49:59.391, 15203, 24564, 5, 55
2026/05/03 20:50:04.468, 15203, 24564, 57, 54
2026/05/03 20:50:09.546, 15203, 24564, 6, 55
2026/05/03 20:50:14.622, 15203, 24564, 6, 55
2026/05/03 20:50:19.692, 15203, 24564, 6, 61
2026/05/03 20:50:24.778, 15203, 24564, 30, 55
