"Timestamp","NvidiaTimestamp","GpuUtilPct","MemUsedMiB","MemTotalMiB","PowerW","TempC"
"2026-05-10T19:19:31.6224462+08:00","2026/05/10 19:19:31.590","0","289","24564","10.01","31"
"2026-05-10T19:19:37.5754228+08:00","2026/05/10 19:19:37.575","0","289","24564","10.54","31"
"2026-05-10T19:19:43.0523203+08:00","2026/05/10 19:19:43.046","0","289","24564","10.6","31"
"2026-05-10T19:19:48.6336949+08:00","2026/05/10 19:19:48.629","0","289","24564","10.73","31"
"2026-05-10T19:19:54.1817138+08:00","2026/05/10 19:19:54.181","0","289","24564","11.15","31"
"2026-05-10T19:19:59.6562489+08:00","2026/05/10 19:19:59.656","0","289","24564","10.03","31"
"2026-05-10T19:20:05.1798767+08:00","2026/05/10 19:20:05.179","0","289","24564","9.9","31"
"2026-05-10T19:20:10.6521336+08:00","2026/05/10 19:20:10.650","0","289","24564","10.41","31"
"2026-05-10T19:20:16.1838213+08:00","2026/05/10 19:20:16.183","0","289","24564","10.64","31"
"2026-05-10T19:20:21.6389114+08:00","2026/05/10 19:20:21.638","0","289","24564","10.14","31"
"2026-05-10T19:20:27.1758006+08:00","2026/05/10 19:20:27.175","0","288","24564","10.11","31"
"2026-05-10T19:20:32.6337435+08:00","2026/05/10 19:20:32.633","0","288","24564","10.03","31"
"2026-05-10T19:20:38.4587583+08:00","2026/05/10 19:20:38.458","0","288","24564","10.76","31"
"2026-05-10T19:20:43.9337906+08:00","2026/05/10 19:20:43.933","1","288","24564","10.6","31"
"2026-05-10T19:20:49.4190996+08:00","2026/05/10 19:20:49.419","0","288","24564","9.91","31"
"2026-05-10T19:20:54.9077079+08:00","2026/05/10 19:20:54.907","0","288","24564","9.86","31"
"2026-05-10T19:21:00.3948895+08:00","2026/05/10 19:21:00.394","0","288","24564","9.85","31"
"2026-05-10T19:21:06.1587409+08:00","2026/05/10 19:21:06.158","0","288","24564","9.73","30"
"2026-05-10T19:21:11.6337541+08:00","2026/05/10 19:21:11.630","0","288","24564","9.51","30"
"2026-05-10T19:21:17.0886092+08:00","2026/05/10 19:21:17.088","0","286","24564","9.56","30"
"2026-05-10T19:21:22.5522451+08:00","2026/05/10 19:21:22.546","0","286","24564","8.58","30"
"2026-05-10T19:21:28.0036609+08:00","2026/05/10 19:21:28.003","0","286","24564","8.85","30"
"2026-05-10T19:21:33.5431973+08:00","2026/05/10 19:21:33.543","0","286","24564","9.73","30"
"2026-05-10T19:21:39.2707415+08:00","2026/05/10 19:21:39.270","0","286","24564","8.97","30"
"2026-05-10T19:21:44.7270926+08:00","2026/05/10 19:21:44.726","0","286","24564","9.52","30"
"2026-05-10T19:21:50.2020905+08:00","2026/05/10 19:21:50.196","0","286","24564","9.29","30"
"2026-05-10T19:21:55.6718012+08:00","2026/05/10 19:21:55.671","0","286","24564","9.33","30"
"2026-05-10T19:22:01.1520518+08:00","2026/05/10 19:22:01.146","0","286","24564","9.43","30"
"2026-05-10T19:22:06.6221687+08:00","2026/05/10 19:22:06.622","0","286","24564","9.21","30"
"2026-05-10T19:22:12.1559150+08:00","2026/05/10 19:22:12.155","0","286","24564","9.45","30"
"2026-05-10T19:22:17.6334647+08:00","2026/05/10 19:22:17.629","0","286","24564","10.02","29"
"2026-05-10T19:22:23.1046959+08:00","2026/05/10 19:22:23.104","0","286","24564","9.42","29"
"2026-05-10T19:22:28.5783242+08:00","2026/05/10 19:22:28.578","0","286","24564","9.16","29"
"2026-05-10T19:22:34.0396760+08:00","2026/05/10 19:22:34.035","0","286","24564","9.25","29"
"2026-05-10T19:22:39.9524770+08:00","2026/05/10 19:22:39.952","0","286","24564","9.4","29"
"2026-05-10T19:22:45.5210500+08:00","2026/05/10 19:22:45.521","0","286","24564","9.13","29"
"2026-05-10T19:22:50.9783721+08:00","2026/05/10 19:22:50.978","0","286","24564","8.65","29"
"2026-05-10T19:22:56.4521524+08:00","2026/05/10 19:22:56.448","0","286","24564","8.24","29"
"2026-05-10T19:23:01.9418228+08:00","2026/05/10 19:23:01.941","0","286","24564","8.28","29"
"2026-05-10T19:23:07.4024621+08:00","2026/05/10 19:23:07.396","0","286","24564","8.2","29"
"2026-05-10T19:23:12.9358424+08:00","2026/05/10 19:23:12.935","0","286","24564","8.1","29"
"2026-05-10T19:23:18.4230762+08:00","2026/05/10 19:23:18.423","0","286","24564","8.45","28"
"2026-05-10T19:23:23.8832764+08:00","2026/05/10 19:23:23.881","0","286","24564","8.42","28"
"2026-05-10T19:23:29.3347096+08:00","2026/05/10 19:23:29.334","0","286","24564","8.31","28"
"2026-05-10T19:23:34.8085254+08:00","2026/05/10 19:23:34.808","0","286","24564","8.82","28"
"2026-05-10T19:23:40.5845414+08:00","2026/05/10 19:23:40.584","0","286","24564","8.43","28"
"2026-05-10T19:23:46.1566053+08:00","2026/05/10 19:23:46.156","0","286","24564","8.76","28"
"2026-05-10T19:23:51.7283680+08:00","2026/05/10 19:23:51.728","0","286","24564","8.63","28"
"2026-05-10T19:23:57.1859586+08:00","2026/05/10 19:23:57.185","0","286","24564","8.15","28"
"2026-05-10T19:24:02.6524160+08:00","2026/05/10 19:24:02.645","0","286","24564","8.86","28"
"2026-05-10T19:24:08.1212421+08:00","2026/05/10 19:24:08.121","0","286","24564","8.59","28"
"2026-05-10T19:24:13.6099563+08:00","2026/05/10 19:24:13.609","0","286","24564","8.57","28"
"2026-05-10T19:24:19.1521522+08:00","2026/05/10 19:24:19.147","0","286","24564","8.45","28"
"2026-05-10T19:24:24.6838584+08:00","2026/05/10 19:24:24.683","0","286","24564","8.14","27"
"2026-05-10T19:24:30.2711871+08:00","2026/05/10 19:24:30.271","0","286","24564","8.24","27"
"2026-05-10T19:24:36.1284043+08:00","2026/05/10 19:24:36.128","0","286","24564","8.65","27"
"2026-05-10T19:24:41.8241716+08:00","2026/05/10 19:24:41.824","0","286","24564","9.13","27"
"2026-05-10T19:24:47.2861415+08:00","2026/05/10 19:24:47.286","0","286","24564","8.65","27"
"2026-05-10T19:24:52.7743608+08:00","2026/05/10 19:24:52.774","0","286","24564","8.21","27"
"2026-05-10T19:24:58.2292816+08:00","2026/05/10 19:24:58.229","0","286","24564","8.03","27"
"2026-05-10T19:25:03.6865238+08:00","2026/05/10 19:25:03.686","0","286","24564","8.97","27"
"2026-05-10T19:25:09.2040953+08:00","2026/05/10 19:25:09.204","0","286","24564","8.43","27"
"2026-05-10T19:25:14.6648140+08:00","2026/05/10 19:25:14.664","0","286","24564","8.95","27"
"2026-05-10T19:25:20.1363373+08:00","2026/05/10 19:25:20.136","0","286","24564","8.49","27"
"2026-05-10T19:25:25.6024380+08:00","2026/05/10 19:25:25.596","0","286","24564","7.9","27"
"2026-05-10T19:25:31.0541482+08:00","2026/05/10 19:25:31.054","0","286","24564","8.63","27"
"2026-05-10T19:25:36.5124363+08:00","2026/05/10 19:25:36.511","0","286","24564","7.99","27"
"2026-05-10T19:25:42.2861114+08:00","2026/05/10 19:25:42.286","0","286","24564","8.37","26"
"2026-05-10T19:25:47.8052837+08:00","2026/05/10 19:25:47.805","0","286","24564","8.71","26"
"2026-05-10T19:25:53.2796393+08:00","2026/05/10 19:25:53.279","0","286","24564","7.91","26"
"2026-05-10T19:25:58.9148277+08:00","2026/05/10 19:25:58.914","0","286","24564","8.31","26"
"2026-05-10T19:26:04.3853966+08:00","2026/05/10 19:26:04.385","0","286","24564","7.86","26"
"2026-05-10T19:26:09.9854940+08:00","2026/05/10 19:26:09.985","0","286","24564","7.72","26"
"2026-05-10T19:26:15.4546680+08:00","2026/05/10 19:26:15.454","0","286","24564","7.57","26"
"2026-05-10T19:26:21.0903189+08:00","2026/05/10 19:26:21.090","0","286","24564","7.57","26"
"2026-05-10T19:26:26.6024448+08:00","2026/05/10 19:26:26.595","0","286","24564","7.87","26"
"2026-05-10T19:26:32.0667907+08:00","2026/05/10 19:26:32.066","0","286","24564","8.17","26"
"2026-05-10T19:26:37.5398222+08:00","2026/05/10 19:26:37.538","0","286","24564","7.8","26"
"2026-05-10T19:26:43.3158104+08:00","2026/05/10 19:26:43.315","0","286","24564","8","26"
