timestamp,gpu_timestamp,gpu_util_pct,mem_used_mib,mem_total_mib,power_w,temp_c
2026-05-11T18:41:05+08:00,2026/05/11 18:41:05.760,9,295,24564,6.72,31
2026-05-11T18:41:08+08:00,2026/05/11 18:41:08.014,0,295,24564,5.63,31
2026-05-11T18:41:10+08:00,2026/05/11 18:41:10.160,12,503,24564,16.16,31
2026-05-11T18:41:12+08:00,2026/05/11 18:41:12.283,0,1839,24564,55.31,32
2026-05-11T18:41:14+08:00,2026/05/11 18:41:14.366,0,2127,24564,55.53,33
2026-05-11T18:41:16+08:00,2026/05/11 18:41:16.442,2,2167,24564,56.92,33
2026-05-11T18:41:18+08:00,2026/05/11 18:41:18.623,6,2167,24564,18.47,32
2026-05-11T18:41:20+08:00,2026/05/11 18:41:20.708,3,2167,24564,14.86,32
2026-05-11T18:41:22+08:00,2026/05/11 18:41:22.792,4,2167,24564,15.07,32
2026-05-11T18:41:24+08:00,2026/05/11 18:41:24.875,3,2167,24564,15.12,32
2026-05-11T18:41:27+08:00,2026/05/11 18:41:27.024,3,2167,24564,15.15,32
2026-05-11T18:41:29+08:00,2026/05/11 18:41:29.206,3,2167,24564,15.31,32
2026-05-11T18:41:31+08:00,2026/05/11 18:41:31.291,3,2167,24564,14.28,32
2026-05-11T18:41:33+08:00,2026/05/11 18:41:33.376,3,2167,24564,14.95,32
2026-05-11T18:41:35+08:00,2026/05/11 18:41:35.462,3,2167,24564,14.47,32
2026-05-11T18:41:37+08:00,2026/05/11 18:41:37.636,6,2167,24564,15.14,32
2026-05-11T18:41:39+08:00,2026/05/11 18:41:39.718,3,2231,24564,14.29,32
2026-05-11T18:41:41+08:00,2026/05/11 18:41:41.801,3,2231,24564,14.78,32
2026-05-11T18:41:43+08:00,2026/05/11 18:41:43.906,3,2231,24564,14.86,32
2026-05-11T18:41:46+08:00,2026/05/11 18:41:45.993,3,2231,24564,14.63,32
2026-05-11T18:41:48+08:00,2026/05/11 18:41:48.176,3,2231,24564,14.97,32
2026-05-11T18:41:50+08:00,2026/05/11 18:41:50.263,4,2231,24564,14.27,32
2026-05-11T18:41:52+08:00,2026/05/11 18:41:52.349,11,4375,24564,6.59,32
2026-05-11T18:41:54+08:00,2026/05/11 18:41:54.431,0,7337,24564,55.79,33
2026-05-11T18:41:56+08:00,2026/05/11 18:41:56.512,1,8549,24564,47.29,34
2026-05-11T18:41:58+08:00,2026/05/11 18:41:58.698,53,8591,24564,147.32,37
2026-05-11T18:42:00+08:00,2026/05/11 18:42:00.787,50,8591,24564,140.39,38
2026-05-11T18:42:02+08:00,2026/05/11 18:42:02.875,63,8593,24564,141.47,40
2026-05-11T18:42:05+08:00,2026/05/11 18:42:05.002,28,17193,24564,138.78,39
2026-05-11T18:42:07+08:00,2026/05/11 18:42:07.088,50,17195,24564,141.68,40
2026-05-11T18:42:09+08:00,2026/05/11 18:42:09.184,51,17195,24564,143.38,41
2026-05-11T18:42:11+08:00,2026/05/11 18:42:11.272,66,17195,24564,143.71,41
2026-05-11T18:42:13+08:00,2026/05/11 18:42:13.361,83,17195,24564,226.64,48
2026-05-11T18:42:15+08:00,2026/05/11 18:42:15.459,52,17195,24564,148.94,43
2026-05-11T18:42:17+08:00,2026/05/11 18:42:17.641,62,17195,24564,145.30,44
2026-05-11T18:42:19+08:00,2026/05/11 18:42:19.736,65,17195,24564,149.71,45
2026-05-11T18:42:21+08:00,2026/05/11 18:42:21.824,50,17195,24564,231.45,48
2026-05-11T18:42:23+08:00,2026/05/11 18:42:23.910,49,17195,24564,144.38,45
2026-05-11T18:42:26+08:00,2026/05/11 18:42:25.997,66,17195,24564,145.38,45
2026-05-11T18:42:28+08:00,2026/05/11 18:42:28.187,52,17195,24564,146.34,46
2026-05-11T18:42:30+08:00,2026/05/11 18:42:30.276,50,17195,24564,165.46,47
2026-05-11T18:42:32+08:00,2026/05/11 18:42:32.376,56,17195,24564,150.19,48
2026-05-11T18:42:34+08:00,2026/05/11 18:42:34.462,51,17195,24564,150.50,47
2026-05-11T18:42:36+08:00,2026/05/11 18:42:36.547,50,17195,24564,146.54,49
2026-05-11T18:42:38+08:00,2026/05/11 18:42:38.727,49,17195,24564,146.26,49
2026-05-11T18:42:40+08:00,2026/05/11 18:42:40.809,62,17195,24564,146.48,50
2026-05-11T18:42:42+08:00,2026/05/11 18:42:42.894,51,17195,24564,148.24,50
2026-05-11T18:42:45+08:00,2026/05/11 18:42:44.981,86,17195,24564,195.78,55
2026-05-11T18:42:47+08:00,2026/05/11 18:42:47.067,68,17195,24564,151.31,51
2026-05-11T18:42:49+08:00,2026/05/11 18:42:49.151,51,17195,24564,149.43,51
2026-05-11T18:42:51+08:00,2026/05/11 18:42:51.235,50,17195,24564,149.02,52
2026-05-11T18:42:53+08:00,2026/05/11 18:42:53.316,72,17195,24564,235.96,59
2026-05-11T18:42:55+08:00,2026/05/11 18:42:55.397,67,17195,24564,150.60,53
2026-05-11T18:42:57+08:00,2026/05/11 18:42:57.571,50,17195,24564,149.72,53
2026-05-11T18:42:59+08:00,2026/05/11 18:42:59.651,54,17195,24564,153.43,54
2026-05-11T18:43:01+08:00,2026/05/11 18:43:01.733,49,17195,24564,240.19,58
2026-05-11T18:43:03+08:00,2026/05/11 18:43:03.812,52,17195,24564,151.32,55
2026-05-11T18:43:05+08:00,2026/05/11 18:43:05.897,51,17195,24564,152.32,55
2026-05-11T18:43:08+08:00,2026/05/11 18:43:08.075,55,17195,24564,153.42,56
2026-05-11T18:43:10+08:00,2026/05/11 18:43:10.155,66,17195,24564,170.90,56
2026-05-11T18:43:12+08:00,2026/05/11 18:43:12.238,47,17195,24564,153.26,57
2026-05-11T18:43:14+08:00,2026/05/11 18:43:14.325,50,17195,24564,151.18,56
