timestamp,gpu_timestamp,gpu_util_pct,mem_used_mib,mem_total_mib,power_w,temp_c
2026-05-12T19:54:27+08:00,2026/05/12 19:54:27.961,0,281,24564,5.29,26
2026-05-12T19:54:30+08:00,2026/05/12 19:54:30.458,0,302,24564,55.32,27
2026-05-12T19:54:32+08:00,2026/05/12 19:54:32.602,3,302,24564,15.44,27
2026-05-12T19:54:34+08:00,2026/05/12 19:54:34.693,4,314,24564,5.47,26
2026-05-12T19:54:36+08:00,2026/05/12 19:54:36.807,0,1846,24564,55.30,28
2026-05-12T19:54:38+08:00,2026/05/12 19:54:38.886,1,2134,24564,55.31,28
2026-05-12T19:54:41+08:00,2026/05/12 19:54:41.033,0,2134,24564,55.18,28
2026-05-12T19:54:43+08:00,2026/05/12 19:54:43.108,3,2174,24564,18.70,27
2026-05-12T19:54:45+08:00,2026/05/12 19:54:45.183,3,2174,24564,11.68,27
2026-05-12T19:54:47+08:00,2026/05/12 19:54:47.261,4,2174,24564,11.92,27
